#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
52000,193212.40595421207,72502.57552453321,265714.9814787453,290.66851683329065,225.4982739669057,1.0986070277966222,238
54000,193256.5996006769,71780.48703849848,265037.0866391754,287.77360740780284,225.7800390084868,1.0972360073280822,238
56000,192895.73397047003,72511.5277634301,265407.2617339001,290.70440706179176,224.7974947654376,1.1020318033105572,239
58000,193028.40294240345,72164.90839213325,265193.3113345367,289.3147827921484,225.62657164848645,1.0979823286151171,239
60000,193955.5566073527,72387.77218790968,266343.3287952624,290.20826124454146,225.74733257187276,1.0973949756734243,239
62000,193558.32606848993,72062.07729406063,265620.40336255054,288.90252484758753,224.99432523825791,1.101067719257864,239
64000,193168.54765070195,72454.49600023542,265623.0436509374,290.4757622460696,225.48322409508634,1.0986803542935912,238
66000,193126.34083669703,72388.33225449847,265514.6730911955,290.21050659546194,225.963114212742,1.096347027253358,238
68000,193078.289311738,72531.89025759185,265610.17956932983,290.78604189937096,225.68977528787534,1.097674842469302,238
70000,192349.2107105644,72658.9749426402,265008.18565320456,291.2955343780586,225.49327737102044,1.0986313712955442,238
72000,192581.74491851835,72344.44397124196,264926.1888897603,290.03455502259385,224.82116808066655,1.1019157610957833,238
74000,192954.43202828744,71969.72115227021,264924.15318055765,288.53226182506114,225.18506350495247,1.1001350830296182,238
76000,193335.18193084712,73010.65671090918,266345.83864175633,292.70545419456863,225.50997751419587,1.0985500121406195,238
78000,193152.99689943704,73145.3598358476,266298.3567352847,293.24548959683386,225.75560717575243,1.0973547529350531,238
80000,193087.44221946667,72672.5264811267,265759.96870059334,291.349863559666,225.10886379914868,1.1005074804921458,239
82000,192617.7985245752,72202.74265962985,264820.54118420504,289.46646334058613,225.81147902565243,1.0970832377742314,239
84000,192538.5910730447,72497.81536426404,265036.40643730876,290.64943297709215,225.03049185803062,1.1008907570283564,238
86000,194120.84244525817,72135.32196847763,266256.1644137358,289.19616849713657,224.9942960130043,1.1010678622791936,238
88000,192518.8762189533,72424.118133581,264942.9943525343,290.3539749939463,225.6040583462836,1.098091897601414,238
90000,192592.8760971519,72195.70788503753,264788.5839821894,289.43826037700563,224.51729845536883,1.1034071327261095,238
92000,193198.16247338324,71758.90004626234,264957.06251964555,287.68706346131853,225.4525598514221,1.098829787957664,238
94000,192747.27244400268,72050.49112241971,264797.7635664224,288.85607497594816,224.79644969809345,1.1020369266007664,238
96000,193665.82515453268,71794.53197779201,265460.3571323247,287.8299146719783,225.71179550628045,1.097567754402793,238
98000,193346.55393005337,72383.02209230427,265729.5760223576,290.1892177383701,225.12306305986525,1.1004380678232542,238
100000,193047.50303418178,72065.9410163134,265113.44405049516,288.91801481340667,224.6292506111864,1.102857209655463,238
102000,192206.5726986638,73275.20003469115,265481.77273335494,293.76602914663823,225.1428922438926,1.1003411480904566,238
104000,192100.71009145677,72020.17653290629,264120.8866243631,288.7345414068504,224.45833145112178,1.1036970066312617,238
106000,193067.51760818902,73121.75459364732,266189.27220183634,293.15085432780785,225.1772044844913,1.1001734793857119,238
108000,192552.12309974234,71850.3448431266,264402.46794286894,288.0536728304941,225.11172007240353,1.1004935169806846,238
110000,192891.5167139119,72150.7169568443,265042.2336707562,289.2578882140271,224.80025888039046,1.1020182528698184,238
112000,192712.8669209123,72929.98690406958,265642.85382498184,292.38204260625395,225.81456577384967,1.0970682413115593,238
114000,193163.56428824353,72632.7840134099,265796.3483016534,291.19053288674905,225.12369429576765,1.1004349822483708,238
